#threads,exec_time,speedup
1S,0.066372,1
1,0.057968,1.144976
2,0.051751,1.282525
3,0.036696,1.808698
4,0.034654,1.915276
5,0.032953,2.014141
6,0.038569,1.720863
7,0.035142,1.888680
8,0.039062,1.699144
9,0.040894,1.623025
10,0.039646,1.674115
