#threads,exec_time,speedup
1S,0.037380,1
1,0.026420,1.414837
2,0.016345,2.286937
3,0.013575,2.753591
4,0.016628,2.248015
5,0.017826,2.096937
6,0.016734,2.233775
7,0.017914,2.086636
8,0.017467,2.140035
